budget_factor,E_total,seed,terminal_reward,terminal_mean_jit_ms,terminal_p95_jit_ms,terminal_deadline_miss_rate
0.25,2.5,3407,5.13957667850755,12.125627016895,83.2300299930203,0.177795
0.25,2.5,4518,5.16199709458701,11.5824206371859,77.5045968894772,0.168195
0.25,2.5,5629,5.18851600529421,10.55473344926,71.5367141211856,0.16348
0.5,5,3407,5.13736629182579,12.1986697088331,83.6468144063341,0.178405
0.5,5,4518,5.16091735573557,11.6165383611446,77.7555836659259,0.16864
0.5,5,5629,5.18894388570568,10.5446860698164,71.3922276089029,0.16338
1,10,3407,5.14143106214326,12.0651177305876,82.9983282305939,0.17719
1,10,4518,5.16400859992971,11.5075476466082,76.9783110472759,0.16753
1,10,5629,5.18850998506554,10.5615424004151,71.5672808607715,0.16356
