method,seed,target_nodes,reference_nodes,mean_jit_target,mean_jit_reference,mean_jit_delta,mean_jit_relative_change_percent
FedPPO,3407,30,10,10.87763825171,12.9520003125553,-2.07436206084534,-16.0157659881656
FedPPO,3407,80,10,11.4291115082857,12.9520003125553,-1.5228888042696,-11.7579429240235
FedPPO,4518,30,10,12.2500865403463,10.0651789935184,2.18490754682795,21.7075875971501
FedPPO,4518,80,10,11.7150873808019,10.0651789935184,1.64990838728349,16.3922408965202
FedPPO,5629,30,10,11.8396397212734,7.55703382807247,4.28260589320097,56.6704608002703
FedPPO,5629,80,10,12.5371421382732,7.55703382807247,4.98010831020078,65.9003045838029
DP-FedRL,3407,30,10,10.781103575377,12.6118586497856,-1.83075507440856,-14.5161401284789
DP-FedRL,3407,80,10,11.3553440848122,12.6118586497856,-1.25651456497331,-9.96296105011193
DP-FedRL,4518,30,10,12.3325352472021,9.90044695955203,2.4320882876501,24.5654392936635
DP-FedRL,4518,80,10,11.6819665125343,9.90044695955203,1.78151955298223,17.9943346018677
DP-FedRL,5629,30,10,11.2790072912581,7.43496297619566,3.84404431506241,51.7022657324561
DP-FedRL,5629,80,10,12.484047132737,7.43496297619566,5.04908415654138,67.9100107519958
Async-FedDRL,3407,30,10,10.6065433376729,12.5127425521871,-1.90619921451415,-15.2340640476214
Async-FedDRL,3407,80,10,10.8689207965931,12.5127425521871,-1.64382175559398,-13.1371819466282
Async-FedDRL,4518,30,10,10.8233868808661,10.8685712048581,-0.0451843239919434,-0.415733799229716
Async-FedDRL,4518,80,10,10.9311874545518,10.8685712048581,0.0626162496936935,0.576122183067679
Async-FedDRL,5629,30,10,10.3304978696557,9.9770278152465,0.353470054409248,3.54283921980341
Async-FedDRL,5629,80,10,11.2443114606525,9.9770278152465,1.26728364540602,12.7020157593367
JIT-APFRL,3407,30,10,11.04358000335,13.9167907422256,-2.87321073887557,-20.6456416000984
JIT-APFRL,3407,80,10,10.9586602957343,13.9167907422256,-2.95813044649126,-21.2558376516782
JIT-APFRL,4518,30,10,10.871108748602,11.5572918123613,-0.686183063759287,-5.93723058048399
JIT-APFRL,4518,80,10,11.1685307210935,11.5572918123613,-0.388761091267831,-3.36377325743411
JIT-APFRL,5629,30,10,10.633140507382,11.2770419346026,-0.643901427220637,-5.70984333440211
JIT-APFRL,5629,80,10,11.2505331318844,11.2770419346026,-0.026508802718185,-0.235068760690205
