scenario,method,seed,round,client_update_norm,cross_seed_mean_update_norm,absolute_deviation,relative_deviation_percent
High-straggler,Async-FedDRL,7851,10,0.16463000488634447,0.1642015117233515,0.0004284931629929545,0.2609556748264805
High-straggler,Async-FedDRL,3407,11,0.1643814836483336,0.16428622528570358,9.525836263002407e-05,0.057983170813234085
High-straggler,Async-FedDRL,4518,11,0.16429591222697346,0.16428622528570358,9.686941269876348e-06,0.005896380693530561
High-straggler,Async-FedDRL,5629,11,0.16375813968020547,0.16428622528570358,0.0005280856054981076,0.32144241221668773
High-straggler,Async-FedDRL,6740,11,0.16423158278061908,0.16428622528570358,5.464250508449564e-05,0.03326055181404835
High-straggler,Async-FedDRL,7851,11,0.1647640080923862,0.16428622528570358,0.0004777828066826195,0.29082341252392074
High-straggler,Async-FedDRL,3407,12,0.16416464975040523,0.16433990644743238,0.00017525669702714297,0.10664281172826551
High-straggler,Async-FedDRL,4518,12,0.16453996824661538,0.16433990644743238,0.00020006179918299893,0.12173659064786736
High-straggler,Async-FedDRL,5629,12,0.16375828307827733,0.16433990644743238,0.0005816233691550432,0.35391487176067477
High-straggler,Async-FedDRL,6740,12,0.16443001465353466,0.16433990644743238,9.010820610227954e-05,0.054830386635946256
High-straggler,Async-FedDRL,7851,12,0.16480661650832923,0.16433990644743238,0.0004667100608968522,0.28399070620509287
High-straggler,Async-FedDRL,3407,13,0.16435983369484541,0.16428600747007086,7.382622477455913e-05,0.04493762184098885
High-straggler,Async-FedDRL,4518,13,0.16433022916406864,0.16428600747007086,4.422169399778686e-05,0.026917504831227356
High-straggler,Async-FedDRL,5629,13,0.16387692709934323,0.16428600747007086,0.0004090803707276214,0.24900499867716758
High-straggler,Async-FedDRL,6740,13,0.16414754844112683,0.16428600747007086,0.0001384590289440213,0.08427925851764664
High-straggler,Async-FedDRL,7851,13,0.16471549895097004,0.16428600747007086,0.00042949148089918565,0.2614291305225304
High-straggler,Async-FedDRL,3407,14,0.164718419100587,0.16434399366927532,0.0003744254313116646,0.22783031065020584
High-straggler,Async-FedDRL,4518,14,0.16411394195604487,0.16434399366927532,0.0002300517132304558,0.13998181989748298
High-straggler,Async-FedDRL,5629,14,0.16388397097812224,0.16434399366927532,0.0004600226911530836,0.2799145139912019
High-straggler,Async-FedDRL,6740,14,0.1642888893283386,0.16434399366927532,5.510434093672356e-05,0.033529878218497684
High-straggler,Async-FedDRL,7851,14,0.16471474698328392,0.16434399366927532,0.00037075331400859834,0.22559590145697667
High-straggler,Async-FedDRL,3407,15,0.16454751090101277,0.16434527595997345,0.00020223494103932538,0.12305491585202609
High-straggler,Async-FedDRL,4518,15,0.16421582096047554,0.16434527595997345,0.00012945499949790218,0.07877013728671528
High-straggler,Async-FedDRL,5629,15,0.16415098019138927,0.16434527595997345,0.00019429576858417952,0.11822412749576115
High-straggler,Async-FedDRL,6740,15,0.1640919614813678,0.16434527595997345,0.0002533144786056596,0.15413554002449983
High-straggler,Async-FedDRL,7851,15,0.16472010626562172,0.16434527595997345,0.00037483030564827713,0.22807488895486575
High-straggler,Async-FedDRL,3407,16,0.16441922534180775,0.1643248078361415,9.44175056662444e-05,0.057457852474955565
High-straggler,Async-FedDRL,4518,16,0.16427330061507925,0.1643248078361415,5.1507221062258024e-05,0.03134476269317721
High-straggler,Async-FedDRL,5629,16,0.1641630582014927,0.1643248078361415,0.00016174963464879455,0.098432876191211
High-straggler,Async-FedDRL,6740,16,0.16398029973806288,0.1643248078361415,0.00034450809807862193,0.20965069280479695
High-straggler,Async-FedDRL,7851,16,0.164788155284265,0.1643248078361415,0.0004633474481234856,0.2819704792142634
High-straggler,Async-FedDRL,3407,17,0.16433748075709362,0.1641709111128547,0.00016656964423891751,0.10146111945764488
High-straggler,Async-FedDRL,4518,17,0.1640377297899572,0.1641709111128547,0.0001331813228974965,0.08112358151313709
High-straggler,Async-FedDRL,5629,17,0.16429110619722953,0.1641709111128547,0.00012019508437483006,0.07321338692711848
High-straggler,Async-FedDRL,6740,17,0.16366935733617416,0.1641709111128547,0.0005015537766805411,0.305507092139948
High-straggler,Async-FedDRL,7851,17,0.16451888148381902,0.1641709111128547,0.0003479703709643178,0.21195616726833863
High-straggler,Async-FedDRL,3407,18,0.16454908659841594,0.16430059965761337,0.00024848694080256695,0.15123921721551217
High-straggler,Async-FedDRL,4518,18,0.16438799126898937,0.16430059965761337,8.73916113759976e-05,0.05319007450862219
High-straggler,Async-FedDRL,5629,18,0.1644234941834153,0.16430059965761337,0.0001228945258019143,0.07479858628514725
High-straggler,Async-FedDRL,6740,18,0.1636775920222575,0.16430059965761337,0.00062300763535586,0.3791876820012513
High-straggler,Async-FedDRL,7851,18,0.16446483421498864,0.16430059965761337,0.00016423455737527015,0.09995980399190213
High-straggler,Async-FedDRL,3407,19,0.1646038602861734,0.164222229692496,0.0003816305936774067,0.2323866838198489
High-straggler,Async-FedDRL,4518,19,0.16401320871241953,0.164222229692496,0.00020902098007646863,0.12727934608357086
High-straggler,Async-FedDRL,5629,19,0.1640998321204563,0.164222229692496,0.0001223975720396897,0.07453167105870964
High-straggler,Async-FedDRL,6740,19,0.16399866797353224,0.164222229692496,0.00022356171896376065,0.13613365217509046
High-straggler,Async-FedDRL,7851,19,0.16439557936989863,0.164222229692496,0.0001733496774026233,0.10555798549758966
High-straggler,Async-FedDRL,3407,20,0.16473548749444075,0.16441884616747462,0.00031664132696612723,0.1925821366266012
High-straggler,Async-FedDRL,4518,20,0.16449531956025792,0.16441884616747462,7.647339278329945e-05,0.04651133040150688
High-straggler,Async-FedDRL,5629,20,0.16421231554479943,0.16441884616747462,0.0002065306226751995,0.12561249971601823
High-straggler,Async-FedDRL,6740,20,0.16409426946049668,0.16441884616747462,0.0003245767069779415,0.1974084568427955
High-straggler,Async-FedDRL,7851,20,0.16455683877737837,0.16441884616747462,0.00013799260990374207,0.08392748953072254
High-straggler,Async-FedDRL,3407,21,0.1648557761983685,0.16441608434048555,0.0004396918578829512,0.26742630421267255
High-straggler,Async-FedDRL,4518,21,0.16423457294450391,0.16441608434048555,0.00018151139598163168,0.11039759078907624
High-straggler,Async-FedDRL,5629,21,0.16409546051756702,0.16441608434048555,0.000320623822918531,0.1950075773940452
High-straggler,Async-FedDRL,6740,21,0.16424731116170588,0.16441608434048555,0.0001687731787796687,0.10265004148265697
High-straggler,Async-FedDRL,7851,21,0.1646473008802824,0.16441608434048555,0.00023121653979685242,0.14062890545308895
High-straggler,Async-FedDRL,3407,22,0.16471042200376992,0.16448971752099945,0.0002207044827704785,0.13417524578234044
High-straggler,Async-FedDRL,4518,22,0.1644783414585881,0.16448971752099945,1.1376062411333487e-05,0.006915971759682287
High-straggler,Async-FedDRL,5629,22,0.16416604173133856,0.16448971752099945,0.0003236757896608877,0.19677569792140104
High-straggler,Async-FedDRL,6740,22,0.16443963809081835,0.16448971752099945,5.007943018109362e-05,0.030445325662803373
High-straggler,Async-FedDRL,7851,22,0.16465414432048237,0.16448971752099945,0.0001644267994829196,0.09996174956159688
High-straggler,Async-FedDRL,3407,23,0.16481731212169598,0.16453978369602035,0.00027752842567563274,0.16866949709156887
High-straggler,Async-FedDRL,4518,23,0.1644172979615604,0.16453978369602035,0.00012248573445994282,0.074441409675261
High-straggler,Async-FedDRL,5629,23,0.16444080431757194,0.16453978369602035,9.897937844841054e-05,0.06015528659699126
High-straggler,Async-FedDRL,6740,23,0.1643746334677622,0.16453978369602035,0.0001651502282581374,0.10037100119399989
High-straggler,Async-FedDRL,7851,23,0.16464887061151123,0.16453978369602035,0.00010908691549088578,0.06629820037470015
High-straggler,Async-FedDRL,3407,24,0.16504538546231753,0.16460888838138202,0.0004364970809355162,0.2651722426581224
High-straggler,Async-FedDRL,4518,24,0.1642217569619558,0.16460888838138202,0.00038713141942622875,0.23518257320909958
High-straggler,Async-FedDRL,5629,24,0.16452049767455212,0.16460888838138202,8.839070682989392e-05,0.053697408262123526
High-straggler,Async-FedDRL,6740,24,0.1645070368658926,0.16460888838138202,0.00010185151548941507,0.061874857725444016
High-straggler,Async-FedDRL,7851,24,0.164749764942192,0.16460888838138202,0.00014087656080999378,0.08558259653852783
High-straggler,Async-FedDRL,3407,25,0.16489213788798834,0.16465708843091026,0.00023504945707808478,0.14275088872150865
High-straggler,Async-FedDRL,4518,25,0.16436153418123006,0.16465708843091026,0.0002955542496801966,0.17949682731345665
High-straggler,Async-FedDRL,5629,25,0.16463067018554453,0.16465708843091026,2.641824536572801e-05,0.016044402107117935
High-straggler,Async-FedDRL,6740,25,0.1644715175946586,0.16465708843091026,0.00018557083625164728,0.11270139537874337
High-straggler,Async-FedDRL,7851,25,0.16492958230512975,0.16465708843091026,0.0002724938742194871,0.16549173607780931
High-straggler,Async-FedDRL,3407,26,0.16487359076906782,0.16459442983992614,0.0002791609291416808,0.1696053319745842
High-straggler,Async-FedDRL,4518,26,0.16418717584204973,0.16459442983992614,0.0004072539978764167,0.24742878496707665
